rna_idx,drug_idx,label,split
0,0,1,train
0,9,1,train
0,10,1,train
0,11,1,train
2,0,1,train
2,13,1,train
2,14,1,train
2,15,1,train
3,0,1,train
3,10,1,train
3,16,1,train
5,0,1,train
5,9,1,train
6,0,1,train
6,8,1,train
6,9,1,train
6,16,1,train
6,21,1,train
6,22,1,train
6,23,1,train
7,9,1,train
7,13,1,train
8,0,1,train
8,8,1,train
8,10,1,train
8,13,1,train
8,25,1,train
8,26,1,train
8,27,1,train
8,28,1,train
8,29,1,train
8,30,1,train
9,0,1,train
9,1,1,train
9,6,1,train
9,7,1,train
9,14,1,train
9,17,1,train
10,9,1,train
10,13,1,train
10,28,1,train
11,9,1,train
12,0,1,train
12,9,1,train
15,9,1,train
15,13,1,train
16,0,1,train
16,6,1,train
16,9,1,train
16,10,1,train
16,17,1,train
16,36,1,train
17,0,1,train
17,1,1,train
19,0,1,train
19,10,1,train
19,39,1,train
22,9,1,train
23,0,1,train
23,3,1,train
24,0,1,train
24,1,1,train
24,17,1,train
25,0,1,train
25,1,1,train
25,3,1,train
25,7,1,train
25,9,1,train
25,10,1,train
25,17,1,train
25,22,1,train
25,38,1,train
26,0,1,train
28,17,1,train
28,34,1,train
28,45,1,train
29,39,1,train
30,9,1,train
30,10,1,train
30,30,1,train
30,47,1,train
31,10,1,train
31,48,1,train
33,0,1,train
33,6,1,train
33,50,1,train
33,51,1,train
33,52,1,train
35,0,1,train
35,1,1,train
35,3,1,train
35,52,1,train
36,0,1,train
36,3,1,train
36,13,1,train
36,50,1,train
36,52,1,train
37,0,1,train
37,3,1,train
38,1,1,train
38,38,1,train
38,52,1,train
39,0,1,train
39,52,1,train
39,56,1,train
42,0,1,train
42,1,1,train
42,10,1,train
42,16,1,train
42,34,1,train
42,50,1,train
42,53,1,train
42,54,1,train
42,59,1,train
43,0,1,train
44,0,1,train
44,16,1,train
44,23,1,train
45,3,1,train
45,7,1,train
45,13,1,train
45,17,1,train
45,52,1,train
46,0,1,train
46,7,1,train
46,16,1,train
48,0,1,train
48,10,1,train
48,34,1,train
48,52,1,train
49,10,1,train
49,63,1,train
50,10,1,train
50,63,1,train
51,3,1,train
51,7,1,train
51,13,1,train
51,52,1,train
53,0,1,train
53,64,1,train
54,13,1,train
55,0,1,train
55,1,1,train
55,6,1,train
55,7,1,train
55,9,1,train
55,13,1,train
55,52,1,train
56,6,1,train
56,13,1,train
57,1,1,train
57,13,1,train
57,26,1,train
57,52,1,train
59,9,1,train
59,13,1,train
