rna_idx,drug_idx,label,split
0,0,1,train
0,9,1,train
0,10,1,train
0,11,1,train
1,7,1,train
1,12,1,train
2,0,1,train
2,13,1,train
2,15,1,train
3,0,1,train
3,10,1,train
3,16,1,train
4,0,1,train
4,9,1,train
4,17,1,train
5,0,1,train
5,9,1,train
6,0,1,train
6,5,1,train
6,8,1,train
6,9,1,train
6,16,1,train
6,22,1,train
6,24,1,train
7,9,1,train
7,13,1,train
8,0,1,train
8,5,1,train
8,8,1,train
8,10,1,train
8,13,1,train
8,18,1,train
8,19,1,train
8,25,1,train
8,26,1,train
8,27,1,train
8,28,1,train
8,30,1,train
9,0,1,train
9,5,1,train
9,6,1,train
9,7,1,train
9,17,1,train
9,19,1,train
9,31,1,train
9,32,1,train
10,9,1,train
10,13,1,train
10,28,1,train
11,5,1,train
11,9,1,train
12,0,1,train
12,9,1,train
13,0,1,train
13,27,1,train
14,5,1,train
14,34,1,train
15,9,1,train
15,13,1,train
16,0,1,train
16,6,1,train
16,9,1,train
16,10,1,train
16,17,1,train
16,36,1,train
17,0,1,train
18,5,1,train
18,18,1,train
19,0,1,train
19,10,1,train
19,18,1,train
19,39,1,train
20,0,1,train
20,5,1,train
20,9,1,train
20,10,1,train
21,40,1,train
21,41,1,train
22,5,1,train
22,9,1,train
23,0,1,train
23,3,1,train
24,0,1,train
24,17,1,train
25,0,1,train
25,3,1,train
25,7,1,train
25,9,1,train
25,10,1,train
25,17,1,train
25,22,1,train
25,38,1,train
25,43,1,train
26,0,1,train
26,5,1,train
26,44,1,train
27,0,1,train
27,9,1,train
28,5,1,train
28,17,1,train
28,34,1,train
28,45,1,train
29,39,1,train
29,46,1,train
30,5,1,train
30,9,1,train
30,10,1,train
30,30,1,train
30,47,1,train
31,10,1,train
31,48,1,train
32,0,1,train
32,3,1,train
32,5,1,train
32,10,1,train
32,13,1,train
32,47,1,train
32,49,1,train
32,50,1,train
33,0,1,train
33,6,1,train
33,50,1,train
34,0,1,train
34,5,1,train
34,18,1,train
34,50,1,train
34,53,1,train
34,54,1,train
34,55,1,train
35,0,1,train
35,3,1,train
36,0,1,train
36,3,1,train
36,5,1,train
36,13,1,train
36,50,1,train
37,0,1,train
37,3,1,train
37,5,1,train
38,38,1,train
39,0,1,train
39,5,1,train
39,56,1,train
39,57,1,train
40,0,1,train
40,3,1,train
40,5,1,train
40,57,1,train
41,13,1,train
41,17,1,train
41,18,1,train
41,58,1,train
42,0,1,train
42,5,1,train
42,10,1,train
42,16,1,train
